"sentence","audio_file"
"You can watch the weatherman on TV", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/You%20can%20watch%20the%20weatherman%20on%20TV.mp3"
"to find out what the weather will be like", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/to%20find%20out%20what%20the%20weather%20will%20be%20like.mp3"
"It might be a nice clear day with no clouds in the sky", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/It%20might%20be%20a%20nice%20clear%20day%20with%20no%20clouds%20in%20the%20sky.mp3"
"The sun might be shining", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/The%20sun%20might%20be%20shining.mp3"
"It could be a cloudy day", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/It%20could%20be%20a%20cloudy%20day.mp3"
"Sometimes cloudy days can be dull", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/Sometimes%20cloudy%20days%20can%20be%20dull.mp3"
"On some cloudy days it begins to rain or snow", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/On%20some%20cloudy%20days%20it%20begins%20to%20rain%20or%20snow.mp3"
"Some days are rainy", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/Some%20days%20are%20rainy.mp3"
"You need a raincoat, umbrella and boots on a rainy day", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/You%20need%20a%20raincoat,%20umbrella%20and%20boots%20on%20a%20rainy%20day.mp3"
"Rain makes the flowers and grass grow", "https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4easy/Rain%20makes%20the%20flowers%20and%20grass%20grow.mp3"
