"sentence","audio_file"
"Hey, do you know any good places to eat around here","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/Hey%2C%20do%20you%20know%20any%20good%20places%20to%20eat%20around%20here.mp3"
"Actually, there's a fantastic Italian restaurant just two blocks away","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/Actually%2C%20there%27s%20a%20fantastic%20Italian%20restaurant%20just%20two%20blocks%20away.mp3"
"It's called The Golden Olive","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/It%27s%20called%20The%20Golden%20Olive.mp3"
"Oh, that sounds great","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/Oh%2C%20that%20sounds%20great.mp3"
"Do they have vegetarian options","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/Do%20they%20have%20vegetarian%20options.mp3"
"Yes, they do","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/Yes%2C%20they%20do.mp3"
"My friend Sarah is vegetarian","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/My%20friend%20Sarah%20is%20vegetarian.mp3"
"and she always finds plenty to eat there","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/and%20she%20always%20finds%20plenty%20to%20eat%20there.mp3"
"Perfect. Do I need a reservation","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/Perfect.%20Do%20I%20need%20a%20reservation.mp3"
"I would recommend it","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3hard/I%20would%20recommend%20it.mp3"
