"sentence","audio_file"
"I wake up every morning at seven o'clock","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20wake%20up%20every%20morning%20at%20seven%20o'clock.mp3"
"I take a shower","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20take%20a%20shower.mp3"
"I eat my breakfast","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20eat%20my%20breakfast.mp3"
"I usually have toast or cereal","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20usually%20have%20toast%20or%20cereal.mp3"
"I brush my teeth","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20brush%20my%20teeth.mp3"
"I put on my clothes","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20put%20on%20my%20clothes.mp3"
"I catch the school bus","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20catch%20the%20school%20bus.mp3"
"I ride to school","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/I%20ride%20to%20school.mp3"
"In my class we have math and English before recess","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/In%20my%20class%20we%20have%20math%20and%20English%20before%20recess.mp3"
"At recess time the girls skip or walk around and talk","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5easy/At%20recess%20time%20the%20girls%20skip%20or%20walk%20around%20and%20talk.mp3"
