"sentence","audio_file"
"My daughter is going to college","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/My%20daughter%20is%20going%20to%20college.mp3"
"That's great, but it must be expensive","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/That%27s%20great%2C%20but%20it%20must%20be%20expensive.mp3"
"Yes, but she has a grant","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/Yes%2C%20but%20she%20has%20a%20grant.mp3"
"A grant? What's a grant","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/A%20grant%3F%20What%27s%20a%20grant.mp3"
"The government is giving her money","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/The%20government%20is%20giving%20her%20money.mp3"
"To pay for her education","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/To%20pay%20for%20her%20education.mp3"
"Does it pay for everything","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/Does%20it%20pay%20for%20everything.mp3"
"No, she has a loan, too","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/No%2C%20she%20has%20a%20loan%2C%20too.mp3"
"What's the difference between a loan and a grant","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/What%27s%20the%20difference%20between%20a%20loan%20and%20a%20grant.mp3"
"You have to pay back a loan; a grant is a gift","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic3easy/You%20have%20to%20pay%20back%20a%20loan%3B%20a%20grant%20is%20a%20gift.mp3"
