"sentence","audio_file"
"Good morning, everyone","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/Good%20morning%20everyone.mp3"
"I've been invited to talk about my research project into Australian Aboriginal rock paintings","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/I've%20been%20invited%20to%20talk%20about%20my%20research%20project%20into%20Australian%20Aboriginal%20rock%20paintings.mp3"
"The Australian Aborigines have recorded both real and symbolic images of their time on rock walls for many thousands of years","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/The%20Australian%20Aborigines%20have%20recorded%20both%20real%20and%20symbolic%20images%20of%20their%20time%20on%20rock%20walls%20for%20many%20thousands%20of%20years.mp3"
"Throughout the long history of this tradition","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/Throughout%20the%20long%20history%20of%20this%20tradition.mp3"
"New images have appeared and new painting styles have developed","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/new%20images%20have%20appeared%20and%20new%20painting%20styles%20have%20developed.mp3"
"And these characteristics can be used to categorise the different artistic styles","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/And%20these%20characteristics%20can%20be%20used%20to%20categorise%20the%20different%20artistic%20styles.mp3"
"Among these are what we call the Dynamic Yam and Modern styles of painting","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/Among%20these%20are%20what%20we%20call%20the%20Dynamic%20Yam%20and%20Modern%20styles%20of%20painting.mp3"
"One of the most significant characteristics of the different styles is the way that humans are depicted in the paintings","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/One%20of%20the%20most%20significant%20characteristics%20of%20the%20different%20styles%20is%20the%20way%20that%20humans%20are%20depicted%20in%20the%20paintings.mp3"
"The more recent paintings show people in static poses","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/The%20more%20recent%20paintings%20show%20people%20in%20static%20poses.mp3"
"But the first human images to dominate rock art paintings over 8000 years ago were full of movement","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic4hard/But%20the%20first%20human%20images%20to%20dominate%20rock%20art%20paintings%20over%208000%20years%20ago%20were%20full%20of%20movement.mp3"
